RCDATE,DISTRICT,TALUK_NAME,RAIN,MINTEMPERATURE,MAXTEMPERATURE,MINHUMIDITY,MAXHUMIDITY
2017-06-01,HASSAN,ALUR,0.0725,19.075,29.45,65.39999999999999,100.0
2017-06-02,HASSAN,ALUR,0.005,19.425,29.375,66.325,100.0
2017-06-03,HASSAN,ALUR,0.205,19.275,28.174999999999997,71.125,100.0
2017-06-04,HASSAN,ALUR,0.9724999999999999,19.8,29.724999999999998,62.775,100.0
2017-06-05,HASSAN,ALUR,0.0,20.0,29.099999999999998,66.15,100.0
2017-06-06,HASSAN,ALUR,0.0075,19.8,27.5,72.6,100.0
2017-06-07,HASSAN,ALUR,2.645,19.25,25.25,74.925,100.0
2017-06-08,HASSAN,ALUR,0.5625,19.424999999999997,26.625,71.95,100.0
2017-06-09,HASSAN,ALUR,2.5475000000000003,19.775,23.825,89.275,100.0
2017-06-10,HASSAN,ALUR,2.335,19.25,23.924999999999997,85.57500000000002,100.0
2017-06-11,HASSAN,ALUR,6.6825,18.375,22.025000000000002,96.57499999999999,100.0
2017-06-12,HASSAN,ALUR,13.805,19.3,22.0,99.30000000000001,100.0
2017-06-13,HASSAN,ALUR,10.375,20.25,25.6,88.725,100.0
2017-06-14,HASSAN,ALUR,5.0249999999999995,20.25,27.575,77.575,100.0
2017-06-15,HASSAN,ALUR,0.42000000000000004,20.224999999999998,27.3,78.675,100.0
2017-06-16,HASSAN,ALUR,4.845,20.0,24.325,92.1,100.0
2017-06-17,HASSAN,ALUR,3.5700000000000003,19.725,25.974999999999998,82.925,100.0
2017-06-18,HASSAN,ALUR,1.775,19.125,27.200000000000003,79.5,100.0
2017-06-19,HASSAN,ALUR,1.395,19.425,27.599999999999998,72.375,100.0
2017-06-20,HASSAN,ALUR,0.41500000000000004,19.599999999999998,26.775,79.675,100.0
2017-06-21,HASSAN,ALUR,4.4525,19.4,25.950000000000003,79.55,100.0
2017-06-22,HASSAN,ALUR,0.2425,19.825000000000003,27.0,77.5,100.0
2017-06-23,HASSAN,ALUR,0.56,19.4,27.025000000000002,75.425,100.0
2017-06-24,HASSAN,ALUR,1.5499999999999998,19.174999999999997,25.425,83.475,100.0
2017-06-25,HASSAN,ALUR,5.02,18.65,24.05,90.675,100.0
2017-06-26,HASSAN,ALUR,6.86,18.6,23.650000000000002,92.70000000000002,100.0
2017-06-27,HASSAN,ALUR,14.340000000000002,18.925,25.400000000000002,86.625,100.0
2017-06-28,HASSAN,ALUR,7.545,18.4,23.65,91.5,100.0
2017-06-29,HASSAN,ALUR,6.4975000000000005,19.075000000000003,25.025,86.15,100.0
2017-06-30,HASSAN,ALUR,9.245000000000001,19.275,24.875,88.80000000000001,100.0
2017-07-01,HASSAN,ALUR,7.4775,18.85,25.35,82.69999999999999,100.0
2017-07-02,HASSAN,ALUR,1.915,19.45,26.650000000000002,79.225,100.0
2017-07-03,HASSAN,ALUR,2.785,19.575000000000003,24.35,90.95,100.0
2017-07-04,HASSAN,ALUR,6.567499999999999,19.425,24.65,87.27499999999999,100.0
2017-07-05,HASSAN,ALUR,5.5725,19.375,25.049999999999997,86.575,100.0
2017-07-06,HASSAN,ALUR,3.035,18.925,26.049999999999997,82.17500000000001,100.0
2017-07-07,HASSAN,ALUR,3.07,19.55,25.85,81.225,100.0
2017-07-08,HASSAN,ALUR,1.19,18.9,24.225,87.5,100.0
2017-07-09,HASSAN,ALUR,0.055,19.2,27.674999999999997,70.825,100.0
2017-07-10,HASSAN,ALUR,0.0075,19.55,25.625,80.675,100.0
2017-07-11,HASSAN,ALUR,0.6525000000000001,19.225,24.925,83.4,100.0
2017-07-12,HASSAN,ALUR,2.3375,18.65,26.549999999999997,78.9,100.0
2017-07-13,HASSAN,ALUR,0.7650000000000001,18.525,23.9,86.45,100.0
2017-07-14,HASSAN,ALUR,1.7200000000000002,18.375,22.974999999999998,90.475,100.0
2017-07-15,HASSAN,ALUR,4.18,18.7,21.7,97.125,100.0
2017-07-16,HASSAN,ALUR,3.0675000000000003,18.55,23.95,87.675,100.0
2017-07-17,HASSAN,ALUR,5.38,19.4,23.924999999999997,90.65,100.0
2017-07-18,HASSAN,ALUR,9.0475,19.225,22.025,96.0,100.0
2017-07-19,HASSAN,ALUR,17.990000000000002,19.475,22.275,95.625,100.0
2017-07-20,HASSAN,ALUR,30.400000000000002,18.975,24.7,80.55,100.0
2017-07-21,HASSAN,ALUR,4.949999999999999,19.424999999999997,23.4,93.975,100.0
2017-07-22,HASSAN,ALUR,9.625,19.625,24.55,90.37499999999999,100.0
2017-07-23,HASSAN,ALUR,4.3425,19.225,25.0,87.025,100.0
2017-07-24,HASSAN,ALUR,2.265,19.375,25.575,84.625,100.0
2017-07-25,HASSAN,ALUR,2.7175000000000002,18.95,26.025,84.67500000000001,100.0
2017-07-26,HASSAN,ALUR,0.8625,19.15,25.400000000000002,86.05,100.0
2017-07-27,HASSAN,ALUR,2.4425,19.0,26.275000000000002,82.975,100.0
2017-07-28,HASSAN,ALUR,4.015000000000001,19.275,26.400000000000002,82.325,100.0
2017-07-29,HASSAN,ALUR,0.525,19.625,26.724999999999998,82.1,100.0
2017-07-30,HASSAN,ALUR,0.56,19.275,28.95,73.45,100.0
2017-07-31,HASSAN,ALUR,0.395,19.775000000000002,28.45,73.825,100.0
2017-08-01,HASSAN,ALUR,0.7025,19.2,28.825,71.52499999999999,100.0
2017-08-02,HASSAN,ALUR,0.8825,19.25,26.849999999999998,78.675,100.0
2017-08-03,HASSAN,ALUR,0.64,18.800000000000004,24.45,88.97500000000001,100.0
2017-08-04,HASSAN,ALUR,6.9825,19.4,24.549999999999997,89.775,100.0
2017-08-05,HASSAN,ALUR,3.6700000000000004,19.55,25.875,85.55,100.0
2017-08-06,HASSAN,ALUR,2.4575,19.475,27.9,77.8,100.0
2017-08-07,HASSAN,ALUR,1.16,18.775,28.200000000000003,76.25,100.0
2017-08-08,HASSAN,ALUR,0.815,19.175,28.275,76.175,100.0
2017-08-09,HASSAN,ALUR,0.10250000000000001,19.900000000000002,27.800000000000004,73.775,100.0
2017-08-10,HASSAN,ALUR,0.05,19.7,27.025,74.6,100.0
2017-08-11,HASSAN,ALUR,0.0675,19.65,29.175,69.375,100.0
2017-08-12,HASSAN,ALUR,3.2800000000000002,18.875,28.150000000000002,69.05,100.0
2017-08-13,HASSAN,ALUR,0.015,18.55,26.975,75.55,100.0
2017-08-14,HASSAN,ALUR,0.0,18.424999999999997,27.725,69.6,100.0
2017-08-15,HASSAN,ALUR,0.4825,19.200000000000003,29.5,63.2,100.0
2017-08-16,HASSAN,ALUR,2.9924999999999997,18.925,28.625,68.65,100.0
2017-08-17,HASSAN,ALUR,1.6749999999999998,18.55,27.574999999999996,73.47500000000001,100.0
2017-08-18,HASSAN,ALUR,16.565,19.025,25.9,85.30000000000001,100.0
2017-08-19,HASSAN,ALUR,9.6425,19.175,24.799999999999997,87.375,100.0
2017-08-20,HASSAN,ALUR,8.48,18.975,23.375,92.17500000000001,100.0
2017-08-21,HASSAN,ALUR,12.6875,19.5,25.85,84.075,100.0
2017-08-22,HASSAN,ALUR,11.195,19.25,25.7,84.6,100.0
2017-08-23,HASSAN,ALUR,4.53,19.175,27.2,81.675,100.0
2017-08-24,HASSAN,ALUR,4.6274999999999995,19.474999999999998,26.075,83.0,100.0
2017-08-25,HASSAN,ALUR,8.129999999999999,19.225,25.025,85.575,100.0
2017-08-26,HASSAN,ALUR,5.720000000000001,19.45,23.975,91.65,100.0
2017-08-27,HASSAN,ALUR,18.7075,19.0,22.525000000000002,96.05000000000001,100.0
2017-08-28,HASSAN,ALUR,2.5525,19.575,23.7,95.82500000000002,100.0
2017-08-29,HASSAN,ALUR,15.5825,19.375,22.725,97.225,100.0
2017-08-30,HASSAN,ALUR,10.6175,19.825,26.575000000000003,84.225,100.0
2017-08-31,HASSAN,ALUR,0.37250000000000005,19.5,28.400000000000002,75.2,100.0
2017-09-01,HASSAN,ALUR,0.0,19.650000000000002,29.525000000000002,63.7,100.0
2017-09-02,HASSAN,ALUR,1.12,19.7,28.150000000000002,68.95,100.0
2017-09-03,HASSAN,ALUR,0.98,19.575,29.05,68.7,100.0
2017-09-04,HASSAN,ALUR,0.07250000000000001,19.825,30.224999999999998,67.05000000000001,100.0
2017-09-05,HASSAN,ALUR,0.3175,20.3,31.175,63.974999999999994,100.0
2017-09-06,HASSAN,ALUR,9.002500000000001,19.549999999999997,30.175,66.525,100.0
2017-09-07,HASSAN,ALUR,9.084999999999999,19.225,30.875,68.175,100.0
2017-09-08,HASSAN,ALUR,8.775,18.725,29.950000000000003,69.1,100.0
2017-09-09,HASSAN,ALUR,20.46,19.525,29.2,76.475,100.0
2017-09-10,HASSAN,ALUR,17.68,18.6,30.324999999999996,69.7,100.0
2017-09-11,HASSAN,ALUR,1.2974999999999999,20.3,30.6,71.07499999999999,100.0
2017-09-12,HASSAN,ALUR,0.035,20.8,31.45,62.25,100.0
2017-09-13,HASSAN,ALUR,0.0,20.375,31.650000000000002,61.15,100.0
2017-09-14,HASSAN,ALUR,0.0075,19.975,29.875,70.625,100.0
2017-09-15,HASSAN,ALUR,11.5575,19.424999999999997,27.875,80.1,100.0
2017-09-16,HASSAN,ALUR,0.97,18.9,27.225,83.5,100.0
2017-09-17,HASSAN,ALUR,14.07,19.075,22.4,96.0,100.0
2017-09-18,HASSAN,ALUR,8.2175,18.950000000000003,22.525,97.75,100.0
2017-09-19,HASSAN,ALUR,18.855,19.299999999999997,25.05,86.775,100.0
2017-09-20,HASSAN,ALUR,3.4475000000000002,18.474999999999998,24.9,82.80000000000001,100.0
2017-09-21,HASSAN,ALUR,1.6925,18.575000000000003,23.675,91.325,100.0
2017-09-22,HASSAN,ALUR,1.0775000000000001,18.475,27.2,68.42500000000001,100.0
2017-09-23,HASSAN,ALUR,0.07,16.75,30.775,53.974999999999994,100.0
2017-09-24,HASSAN,ALUR,0.3175,19.55,29.299999999999997,69.025,100.0
2017-09-25,HASSAN,ALUR,14.3625,18.150000000000002,27.625,74.55,100.0
2017-09-26,HASSAN,ALUR,6.195,19.400000000000002,29.849999999999998,68.975,100.0
2017-09-27,HASSAN,ALUR,4.5424999999999995,19.475,28.25,75.975,100.0
2017-09-28,HASSAN,ALUR,32.8925,19.224999999999998,26.450000000000003,85.4,100.0
2017-09-29,HASSAN,ALUR,0.8825,19.224999999999998,26.675000000000004,80.35,100.0
2017-09-30,HASSAN,ALUR,0.0,19.375,27.475,77.82499999999999,100.0
2017-10-01,HASSAN,ALUR,0.0275,19.975,27.95,79.725,100.0
2017-10-02,HASSAN,ALUR,36.335,19.2,28.7,78.05000000000001,100.0
2017-10-03,HASSAN,ALUR,0.10250000000000001,18.825000000000003,28.4,75.65,100.0
2017-10-04,HASSAN,ALUR,0.0275,19.775,28.25,76.8,100.0
2017-10-05,HASSAN,ALUR,1.025,19.775000000000002,28.525,72.475,100.0
2017-10-06,HASSAN,ALUR,0.21999999999999997,19.725,28.074999999999996,79.4,100.0
2017-10-07,HASSAN,ALUR,8.9475,19.325000000000003,28.325,77.325,100.0
2017-10-08,HASSAN,ALUR,0.0625,19.275,28.375,71.52499999999999,100.0
2017-10-09,HASSAN,ALUR,0.0,19.5,29.0,71.85,100.0
2017-10-10,HASSAN,ALUR,0.0675,19.6,28.9,73.30000000000001,100.0
2017-10-11,HASSAN,ALUR,2.955,20.275000000000002,30.025000000000002,67.575,100.0
2017-10-12,HASSAN,ALUR,1.12,19.549999999999997,29.275,69.47500000000001,100.0
2017-10-13,HASSAN,ALUR,2.7449999999999997,20.0,30.1,66.025,100.0
2017-10-14,HASSAN,ALUR,7.04,19.7,27.849999999999998,77.60000000000001,100.0
2017-10-15,HASSAN,ALUR,18.2075,19.2,23.475,94.4,100.0
2017-10-16,HASSAN,ALUR,0.5125,19.125,24.85,88.89999999999999,100.0
2017-10-17,HASSAN,ALUR,0.0,19.325,28.75,62.35,100.0
2017-10-18,HASSAN,ALUR,0.0,19.175,29.45,59.0,100.0
2017-10-19,HASSAN,ALUR,0.0,18.8,30.825000000000003,46.75,100.0
2017-10-20,HASSAN,ALUR,0.0875,19.225,29.550000000000004,56.6,100.0
2017-10-21,HASSAN,ALUR,0.0,18.3,29.049999999999997,55.150000000000006,100.0
2017-10-22,HASSAN,ALUR,0.0,15.525000000000002,28.0,47.925,100.0
2017-10-23,HASSAN,ALUR,0.0,14.625,29.625,41.075,100.0
2017-10-24,HASSAN,ALUR,0.0,15.275,31.150000000000002,46.974999999999994,100.0
2017-10-25,HASSAN,ALUR,0.0,18.575,31.4,52.525,100.0
2017-10-26,HASSAN,ALUR,2.7075,19.5,29.125,63.35,100.0
2017-10-27,HASSAN,ALUR,0.3025,18.65,30.075,53.15,100.0
2017-10-28,HASSAN,ALUR,0.0,16.45,29.9,49.25,100.0
2017-10-29,HASSAN,ALUR,0.0,16.099999999999998,30.375,46.300000000000004,98.725
2017-10-30,HASSAN,ALUR,0.0,16.225,29.075,47.974999999999994,97.775
2017-10-31,HASSAN,ALUR,0.0,15.125,28.975,52.775000000000006,98.375
2017-06-01,HASSAN,ARASIKERE,0.38,21.06,32.1,44.28,90.54
2017-06-02,HASSAN,ARASIKERE,0.08199999999999999,21.759999999999998,31.6,48.82,90.32000000000001
2017-06-03,HASSAN,ARASIKERE,0.06,21.380000000000003,31.2,48.3,86.17999999999999
2017-06-04,HASSAN,ARASIKERE,0.098,21.32,32.02,44.92,89.02
2017-06-05,HASSAN,ARASIKERE,0.29,21.22,32.72,44.17999999999999,93.75999999999999
2017-06-06,HASSAN,ARASIKERE,11.042,21.34,30.859999999999996,49.67999999999999,93.96
2017-06-07,HASSAN,ARASIKERE,5.642,19.8,27.840000000000003,55.8,96.74
2017-06-08,HASSAN,ARASIKERE,0.118,21.380000000000003,28.919999999999998,50.67999999999999,90.46
2017-06-09,HASSAN,ARASIKERE,0.524,21.080000000000002,28.1,60.260000000000005,89.96
2017-06-10,HASSAN,ARASIKERE,2.186,20.939999999999998,28.419999999999998,58.32000000000001,93.85999999999999
2017-06-11,HASSAN,ARASIKERE,0.52,20.46,26.18,68.16,95.28
2017-06-12,HASSAN,ARASIKERE,1.522,20.72,24.639999999999997,81.63999999999999,96.94000000000001
2017-06-13,HASSAN,ARASIKERE,1.9600000000000002,21.639999999999997,29.359999999999996,61.3,95.72
2017-06-14,HASSAN,ARASIKERE,0.21799999999999997,21.52,31.160000000000004,49.98,95.9
2017-06-15,HASSAN,ARASIKERE,0.188,20.66,31.24,49.31999999999999,95.46000000000001
2017-06-16,HASSAN,ARASIKERE,0.534,21.34,27.52,65.88,96.86
2017-06-17,HASSAN,ARASIKERE,5.2940000000000005,20.919999999999998,29.82,58.019999999999996,97.34
2017-06-18,HASSAN,ARASIKERE,3.218,19.78,30.6,52.46,96.56000000000002
2017-06-19,HASSAN,ARASIKERE,1.3139999999999998,21.219999999999995,29.619999999999997,52.68000000000001,92.66
2017-06-20,HASSAN,ARASIKERE,2.5260000000000002,20.32,29.46,53.739999999999995,94.22
2017-06-21,HASSAN,ARASIKERE,0.7939999999999999,20.6,28.82,53.38000000000001,93.26000000000002
2017-06-22,HASSAN,ARASIKERE,0.096,20.880000000000003,31.439999999999998,44.98,90.85999999999999
2017-06-23,HASSAN,ARASIKERE,0.044,20.82,30.82,47.00000000000001,90.78
2017-06-24,HASSAN,ARASIKERE,0.05,21.439999999999998,29.52,52.959999999999994,89.20000000000002
2017-06-25,HASSAN,ARASIKERE,0.35400000000000004,20.98,28.6,55.3,87.12
2017-06-26,HASSAN,ARASIKERE,0.078,21.9,27.9,58.879999999999995,87.66
2017-06-27,HASSAN,ARASIKERE,0.084,21.06,30.3,47.28000000000001,88.56
2017-06-28,HASSAN,ARASIKERE,0.16,20.86,28.540000000000003,54.02,91.85999999999999
2017-06-29,HASSAN,ARASIKERE,0.406,20.740000000000002,29.8,50.38,92.43999999999998
2017-06-30,HASSAN,ARASIKERE,0.19,20.82,30.1,50.080000000000005,87.86000000000001
2017-07-01,HASSAN,ARASIKERE,0.132,20.939999999999998,30.0,45.84,92.02
2017-07-02,HASSAN,ARASIKERE,0.002,21.48,31.4,45.019999999999996,85.46000000000001
2017-07-03,HASSAN,ARASIKERE,0.074,21.339999999999996,30.54,49.99999999999999,95.5
2017-07-04,HASSAN,ARASIKERE,5.606,21.28,28.82,55.720000000000006,92.06000000000002
2017-07-05,HASSAN,ARASIKERE,0.44000000000000006,20.7,29.24,53.720000000000006,94.93999999999998
2017-07-06,HASSAN,ARASIKERE,0.8640000000000001,19.9,30.419999999999998,47.720000000000006,94.6
2017-07-07,HASSAN,ARASIKERE,0.018,21.240000000000002,30.779999999999994,44.7,89.0
2017-07-08,HASSAN,ARASIKERE,0.25599999999999995,20.340000000000003,28.540000000000003,54.6,91.85999999999999
2017-07-09,HASSAN,ARASIKERE,0.806,20.400000000000002,30.9,46.06,92.96000000000001
2017-07-10,HASSAN,ARASIKERE,1.98,20.340000000000003,30.4,48.92,91.66000000000001
2017-07-11,HASSAN,ARASIKERE,0.22000000000000003,20.44,29.380000000000003,51.36,95.02000000000001
2017-07-12,HASSAN,ARASIKERE,2.5140000000000002,20.580000000000002,29.119999999999997,52.96,95.17999999999999
2017-07-13,HASSAN,ARASIKERE,0.654,20.459999999999997,27.080000000000002,57.660000000000004,92.7
2017-07-14,HASSAN,ARASIKERE,0.5660000000000001,20.2,26.2,59.3,88.32
2017-07-15,HASSAN,ARASIKERE,0.312,20.520000000000003,26.059999999999995,66.17999999999999,91.11999999999999
2017-07-16,HASSAN,ARASIKERE,0.7440000000000001,19.9,28.880000000000003,53.739999999999995,89.67999999999999
2017-07-17,HASSAN,ARASIKERE,0.142,20.939999999999998,30.2,46.96,89.22
2017-07-18,HASSAN,ARASIKERE,0.09,21.04,26.240000000000002,67.14,91.76000000000002
2017-07-19,HASSAN,ARASIKERE,2.822,21.0,27.04,65.88000000000001,95.34
2017-07-20,HASSAN,ARASIKERE,7.663999999999999,20.66,28.560000000000002,46.599999999999994,96.8
2017-07-21,HASSAN,ARASIKERE,1.2200000000000002,20.56,28.78,61.279999999999994,94.98
2017-07-22,HASSAN,ARASIKERE,0.524,20.8,30.52,51.52,93.28
