Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET
2011-02-12,4.04,2838.77,52.0,0.0,0.0,0.0,0.0
2011-02-13,4.04,2838.79,39.0,0.0,0.0,0.0,0.0
2011-02-14,4.04,2838.81,41.0,0.0,0.0,0.0,0.0
2011-02-15,4.05,2838.83,40.0,0.0,0.0,0.0,0.0
2011-02-16,4.05,2838.86,52.0,0.0,0.0,0.0,0.0
2011-02-17,4.05,2838.9,64.0,0.0,0.0,0.0,0.0
2011-02-18,4.055,2838.92,58.0,0.0,0.0,0.0,0.0
2011-02-19,4.06,2838.94,52.0,0.0,0.0,0.0,0.0
2011-02-20,4.06,2838.97,52.0,0.0,0.0,0.0,0.0
2011-02-21,4.06,2838.99,40.0,0.0,0.0,0.0,0.0
2011-02-22,4.07,2839.02,52.0,0.0,0.0,0.0,0.0
2011-02-23,4.07,2839.04,40.0,0.0,0.0,0.0,0.0
2011-02-24,4.07,2839.06,40.0,0.0,0.0,0.0,0.0
2011-02-25,4.085,2839.195,148.0,0.0,0.0,0.0,0.0
2011-02-26,4.1,2839.33,256.0,0.0,0.0,0.0,0.0
2011-02-27,4.1,2839.35,40.0,0.0,0.0,0.0,0.0
2011-02-28,4.1,2839.36,28.0,0.0,0.0,0.0,0.0
2011-03-01,4.1,2839.39,52.0,0.0,0.0,0.0,0.0
2011-03-02,4.11,2839.41,40.0,0.0,0.0,0.0,0.0
2011-03-03,4.11,2839.41,22.0,0.0,0.0,0.0,0.0
2011-03-04,4.11,2839.415,28.0,0.0,0.0,0.0,0.0
2011-03-05,4.11,2839.42,34.0,0.0,0.0,0.0,0.0
2011-03-06,4.11,2839.43,34.0,0.0,0.0,0.0,0.0
2011-03-07,4.11,2839.43,22.0,0.0,0.0,0.0,0.0
2011-03-08,4.11,2839.43,22.0,0.0,0.0,0.0,0.0
2011-03-09,4.11,2839.44,23.0,0.0,0.0,0.0,0.0
2011-03-10,4.11,2839.43,29.0,0.0,0.0,0.0,0.0
2011-03-11,4.11,2839.43,29.0,0.0,0.0,0.0,0.0
2011-03-12,4.11,2839.43,29.0,0.0,0.0,0.0,0.0
2011-03-13,4.11,2839.43,29.0,0.0,0.0,0.0,0.0
2011-03-14,4.11,2839.43,29.0,0.0,0.0,0.0,0.0
2011-03-15,4.11,2839.43,31.0,0.0,0.0,0.0,0.0
2011-03-16,4.11,2839.44,34.0,0.0,0.0,0.0,0.0
2011-03-17,4.11,2839.41,36.0,50.0,0.0,0.0,0.0
2011-03-18,4.105,2839.385,28.0,45.0,0.0,0.0,0.0
2011-03-19,4.1,2839.36,20.0,40.0,0.0,0.0,0.0
2011-03-20,4.09,2839.33,20.0,40.0,0.0,0.0,0.0
2011-03-21,4.09,2839.3,14.0,40.0,0.0,0.0,0.0
2011-03-22,4.09,2839.28,27.0,40.0,0.0,0.0,0.0
2011-03-23,4.09,2839.26,32.0,40.0,0.0,0.0,0.0
2011-03-24,4.09,2839.24,32.0,40.0,0.0,0.0,0.0
2011-03-25,4.085,2839.22,32.0,40.0,0.0,0.0,0.0
2011-03-26,4.08,2839.2,32.0,40.0,0.0,0.0,0.0
2011-03-27,4.08,2839.18,32.0,40.0,0.0,0.0,0.0
2011-03-28,4.08,2839.16,38.0,40.0,0.0,0.0,0.0
2011-03-29,4.08,2839.16,38.0,40.0,0.0,0.0,0.0
2011-03-30,4.08,2839.14,23.0,50.0,0.0,0.0,0.0
2011-03-31,4.08,2839.13,50.0,40.0,0.0,0.0,0.0
2011-04-01,4.075,2839.09,53.5,82.5,0.0,0.0,0.0
2011-04-02,4.07,2839.05,57.0,125.0,0.0,0.0,0.0
2011-04-03,4.05,2838.91,48.0,200.0,0.0,0.0,0.0
2011-04-04,4.04,2838.75,24.0,200.0,0.0,0.0,0.0
2011-04-05,4.02,2838.59,24.0,200.0,0.0,0.0,0.0
2011-04-06,4.0,2838.35,28.0,300.0,0.0,0.0,0.0
2011-04-07,3.98,2838.16,38.0,250.0,0.0,0.0,0.0
2011-04-08,3.95,2837.915,32.5,275.0,0.0,0.0,0.0
2011-04-09,3.92,2837.67,27.0,300.0,0.0,0.0,0.0
2011-04-10,3.91,2837.5,17.0,200.0,0.0,0.0,0.0
2011-04-11,3.88,2837.2,10.0,350.0,0.0,0.0,0.0
2011-04-12,3.86,2837.08,27.0,150.0,0.0,0.0,0.0
2011-04-13,3.83,2836.75,24.0,400.0,0.0,0.0,0.0
2011-04-14,3.81,2836.54,88.0,325.0,0.0,0.0,0.0
2011-04-15,3.785,2836.33,66.0,337.5,0.0,0.0,0.0
2011-04-16,3.76,2836.12,44.0,350.0,0.0,0.0,0.0
2011-04-17,3.74,2835.91,68.0,300.0,0.0,0.0,0.0
2011-04-18,3.73,2835.8,38.0,150.0,0.0,0.0,0.0
2011-04-19,3.73,2835.82,44.0,0.0,0.0,0.0,0.0
2011-04-20,3.74,2835.85,51.0,0.0,0.0,0.0,0.0
2011-04-21,3.74,2835.9,75.0,0.0,0.0,0.0,0.0
2011-04-22,3.755,2836.025,93.5,0.0,0.0,0.0,0.0
2011-04-23,3.77,2836.15,112.0,0.0,0.0,0.0,0.0
2011-04-24,3.77,2836.21,93.0,0.0,0.0,0.0,0.0
2011-04-25,3.79,2836.33,160.0,0.0,0.0,0.0,0.0
2011-04-26,3.79,2836.38,75.0,0.0,0.0,0.0,0.0
2011-04-27,3.79,2836.4,39.0,0.0,0.0,0.0,0.0
2011-04-28,3.79,2836.41,27.0,0.0,0.0,0.0,0.0
2011-04-29,3.79,2836.415,23.5,0.0,0.0,0.0,0.0
2011-04-30,3.79,2836.42,20.0,0.0,0.0,0.0,0.0
2011-05-01,3.8,2836.5,117.0,0.0,0.0,0.0,0.0
2011-05-02,3.81,2836.54,63.0,0.0,0.0,0.0,0.0
2011-05-03,3.81,2836.56,39.0,0.0,0.0,0.0,0.0
2011-05-04,3.81,2836.57,27.0,0.0,0.0,0.0,0.0
2011-05-05,3.81,2836.58,27.0,0.0,0.0,0.0,0.0
2011-05-06,3.81,2836.59,27.0,0.0,0.0,0.0,0.0
2011-05-07,3.81,2836.6,27.0,0.0,0.0,0.0,0.0
2011-05-08,3.81,2836.6,20.0,0.0,0.0,0.0,0.0
2011-05-09,3.81,2836.57,27.0,43.0,0.0,0.0,0.0
2011-05-10,3.81,2836.55,27.0,43.0,0.0,0.0,0.0
2011-05-11,3.81,2836.52,27.0,43.0,0.0,0.0,0.0
2011-05-12,3.8,2836.49,27.0,43.0,0.0,0.0,0.0
2011-05-13,3.805,2836.525,121.5,59.0,0.0,0.0,0.0
2011-05-14,3.81,2836.56,216.0,75.0,0.0,0.0,0.0
2011-05-15,3.81,2836.54,72.0,75.0,0.0,0.0,0.0
2011-05-16,3.79,2836.42,50.0,175.0,0.0,0.0,0.0
2011-05-17,3.78,2836.29,34.0,175.0,0.0,0.0,0.0
2011-05-18,3.78,2836.24,105.0,150.0,0.0,0.0,0.0
2011-05-19,3.78,2836.23,100.0,100.0,0.0,0.0,0.0
2011-05-20,3.78,2836.235,68.5,55.0,0.0,0.0,0.0
2011-05-21,3.78,2836.24,37.0,10.0,0.0,0.0,0.0
2011-05-22,3.78,2836.24,37.0,10.0,0.0,0.0,0.0
2011-05-23,3.78,2836.26,27.0,0.0,0.0,0.0,0.0
2011-05-24,3.78,2836.26,20.0,0.0,0.0,0.0,0.0
2011-05-25,3.78,2836.27,33.0,0.0,0.0,0.0,0.0
2011-05-26,3.78,2836.32,75.0,0.0,0.0,0.0,0.0
2011-05-27,3.785,2836.325,45.0,0.0,0.0,0.0,0.0
2011-05-28,3.79,2836.33,15.0,0.0,0.0,0.0,0.0
2011-05-29,3.79,2836.39,87.0,0.0,0.0,0.0,0.0
2011-05-30,3.79,2836.4,27.0,0.0,0.0,0.0,0.0
2011-05-31,3.795,2836.4300000000007,21.0,0.0,0.0,0.0,0.0
2011-06-01,3.8,2836.46,15.0,0.0,0.625,0.083333333333333,0.0
2011-06-02,3.79,2836.41,27.0,0.0,14.25,5.16666666666667,17.3333333333333
2011-06-03,3.8,2836.45,63.0,0.0,44.25,10.6666666666667,46.9166666666667
2011-06-04,3.81,2836.58,172.0,0.0,40.25,14.5,33.6666666666667
2011-06-05,3.82,2836.65,100.0,0.0,34.25,9.16666666666667,34.6666666666667
2011-06-06,3.84,2836.82,220.0,0.0,30.75,8.75,39.5
2011-06-07,3.85,2836.98,208.0,0.0,14.25,7.08333333333333,6.75
2011-06-08,3.87,2837.13,196.0,0.0,37.875,8.0,23.0
2011-06-09,3.89,2837.38,316.0,0.0,16.625,4.75,12.083333333333302
2011-06-10,3.91,2837.535,268.0,0.0,34.5,9.08333333333333,31.0
2011-06-11,3.93,2837.69,220.0,0.0,30.25,10.916666666666698,23.0833333333333
2011-06-12,3.95,2837.91,280.0,0.0,6.375,5.08333333333333,2.5
2011-06-13,4.0,2838.36,557.0,0.0,29.375,20.1666666666667,19.0833333333333
2011-06-14,4.05,2838.84,593.0,0.0,34.5,19.3333333333333,18.9166666666667
2011-06-15,4.13,2839.64,978.0,0.0,44.875,24.6666666666667,22.5
2011-06-16,4.18,2840.16,641.0,0.0,10.375,6.66666666666667,10.916666666666698
2011-06-17,4.265,2840.95,1008.0,0.0,32.5,27.1666666666667,34.9166666666667
2011-06-18,4.35,2841.74,1375.0,0.0,105.375,31.4166666666667,52.25
2011-06-19,4.47,2842.95,1507.0,0.0,20.5,10.6666666666667,4.41666666666667
2011-06-20,4.53,2843.52,702.0,0.0,3.25,0.916666666666667,1.5
2011-06-21,4.56,2843.82,377.0,0.0,4.75,0.083333333333333,0.0
2011-06-22,4.6,2844.06,387.0,0.0,0.375,1.16666666666667,0.083333333333333
