RCDATE,DISTRICT,TALUK_NAME,RAIN,MINTEMPERATURE,MAXTEMPERATURE,MINHUMIDITY,MAXHUMIDITY
2016-06-01,HASSAN,ALUR,3.9699999999999998,20.4,29.4,65.52499999999999,99.8
2016-06-02,HASSAN,ALUR,4.8125,20.825,29.775,64.975,99.525
2016-06-03,HASSAN,ALUR,1.275,20.075,28.3,68.0,99.95
2016-06-04,HASSAN,ALUR,0.1775,20.85,29.475,63.10000000000001,99.625
2016-06-05,HASSAN,ALUR,4.045,20.825000000000003,30.2,58.3,99.325
2016-06-06,HASSAN,ALUR,0.0225,21.15,28.8,68.75,99.2
2016-06-07,HASSAN,ALUR,0.045,20.05,29.3,63.175,100.0
2016-06-08,HASSAN,ALUR,0.77,20.8,30.05,60.9,100.0
2016-06-09,HASSAN,ALUR,12.010000000000002,20.425,30.15,64.825,100.0
2016-06-10,HASSAN,ALUR,12.969999999999999,20.125,26.175,79.57499999999999,100.0
2016-06-11,HASSAN,ALUR,9.0075,20.0,25.475,84.80000000000001,100.0
2016-06-12,HASSAN,ALUR,3.195,19.775,26.85,74.77499999999999,100.0
2016-06-13,HASSAN,ALUR,0.23500000000000001,19.925,26.275,75.75,100.0
2016-06-14,HASSAN,ALUR,0.33999999999999997,19.799999999999997,25.1,78.05000000000001,100.0
2016-06-15,HASSAN,ALUR,0.0,20.275000000000002,27.0,68.07499999999999,97.225
2016-06-16,HASSAN,ALUR,2.3175,19.5,26.174999999999997,73.875,100.0
2016-06-17,HASSAN,ALUR,0.7274999999999999,18.700000000000003,27.025,72.67500000000001,100.0
2016-06-18,HASSAN,ALUR,2.8675000000000006,19.775,27.349999999999998,73.55000000000001,100.0
2016-06-19,HASSAN,ALUR,0.21500000000000002,19.1,28.275,63.8,100.0
2016-06-20,HASSAN,ALUR,0.07,19.15,26.525,74.975,99.65
2016-06-21,HASSAN,ALUR,1.9874999999999998,19.525,24.725,81.225,99.95
2016-06-22,HASSAN,ALUR,1.9074999999999998,19.224999999999998,23.325000000000003,86.30000000000001,99.875
2016-06-23,HASSAN,ALUR,1.9249999999999998,18.525,25.0,78.375,99.9
2016-06-24,HASSAN,ALUR,1.5325000000000002,18.125,23.25,83.325,99.19999999999999
2016-06-25,HASSAN,ALUR,1.17,18.375,25.349999999999998,73.625,99.44999999999999
2016-06-26,HASSAN,ALUR,2.7424999999999997,18.825,23.025,84.07499999999999,99.55000000000001
2016-06-27,HASSAN,ALUR,8.135,19.125,24.35,84.125,100.0
2016-06-28,HASSAN,ALUR,13.0125,20.125,23.375,86.275,99.175
2016-06-29,HASSAN,ALUR,66.0475,19.875,22.375,94.4,99.8
2016-06-30,HASSAN,ALUR,31.080000000000002,19.75,22.1,91.0,99.9
2016-07-01,HASSAN,ALUR,30.3125,20.4,23.6,89.2,99.15
2016-07-02,HASSAN,ALUR,10.175,20.625,24.25,86.8,99.30000000000001
2016-07-03,HASSAN,ALUR,11.595,19.900000000000002,24.95,81.925,100.0
2016-07-04,HASSAN,ALUR,9.34,20.375,24.099999999999998,87.5,100.0
2016-07-05,HASSAN,ALUR,8.620000000000001,19.725,23.4,89.95,99.525
2016-07-06,HASSAN,ALUR,3.3699999999999997,20.05,23.675,89.3,100.0
2016-07-07,HASSAN,ALUR,16.700000000000003,19.425,23.849999999999998,88.4,100.0
2016-07-08,HASSAN,ALUR,7.282500000000001,20.0,23.875,88.65,99.80000000000001
2016-07-09,HASSAN,ALUR,5.7875,19.4,23.775,88.30000000000001,99.25
2016-07-10,HASSAN,ALUR,9.605,19.599999999999998,22.974999999999998,88.55000000000001,99.6
2016-07-11,HASSAN,ALUR,16.91,19.15,23.049999999999997,87.9,99.94999999999999
2016-07-12,HASSAN,ALUR,11.17,19.25,22.75,88.57499999999999,98.8
2016-07-13,HASSAN,ALUR,6.487500000000001,19.3,24.0,86.4,99.44999999999999
2016-07-14,HASSAN,ALUR,5.725,19.0,24.25,85.95,100.0
2016-07-15,HASSAN,ALUR,0.265,19.775,25.725,80.0,99.69999999999999
2016-07-16,HASSAN,ALUR,0.10250000000000001,18.8,28.174999999999997,70.275,99.30000000000001
2016-07-17,HASSAN,ALUR,0.11249999999999999,19.85,27.1,72.775,98.6
2016-07-18,HASSAN,ALUR,0.0,19.424999999999997,26.275000000000002,72.67500000000001,98.3
2016-07-19,HASSAN,ALUR,0.47250000000000003,18.175,25.249999999999996,75.02499999999999,97.75
2016-07-20,HASSAN,ALUR,0.0,19.275,26.275000000000002,71.6,98.30000000000001
2016-07-21,HASSAN,ALUR,4.1975,18.575,24.375,79.0,99.0
2016-07-22,HASSAN,ALUR,2.2425,18.875,24.625,77.7,98.85
2016-07-23,HASSAN,ALUR,1.3575,18.275000000000002,23.25,80.525,99.55
2016-07-24,HASSAN,ALUR,0.3675,19.275,25.275000000000002,74.675,99.275
2016-07-25,HASSAN,ALUR,1.8624999999999998,19.4,25.275,78.025,99.175
2016-07-26,HASSAN,ALUR,0.0025,19.875,26.825,73.60000000000001,98.025
2016-07-27,HASSAN,ALUR,0.0,20.35,27.625,72.425,98.0
2016-07-28,HASSAN,ALUR,6.4025,19.7,29.15,64.4,98.875
