,tar,out
271,1703.0,835.6227
272,995.99994,1295.5226
273,1658.0,1167.936
274,1121.0,1108.9174
275,1003.5,1044.9768
276,886.0,939.5376
277,1003.00006,1001.55884
278,259.0,960.92786
279,515.0,651.3193
280,358.0,647.3953
281,240.0,578.93823
282,240.5,491.70187
283,240.99998,429.37912
284,240.99998,581.85944
285,280.0,387.51932
286,355.0,223.00902
287,23.000002,499.83328
288,1237.0001,752.20605
289,885.0,492.12488
290,533.0,301.13818
291,600.0,2061.9397
292,831.0,751.0668
293,348.0,458.50925
294,502.0,824.8237
295,416.0,936.40796
296,330.0,599.1962
297,244.0,441.63254
298,219.0,365.16708
299,216.49998,341.99304
300,214.00002,298.60452
301,161.0,288.44705
302,185.0,185.36096
303,197.50002,113.878
304,210.0,74.945946
305,107.00001,70.96469
306,55.0,71.22968
307,78.0,81.6779
308,77.00001,64.268906
309,26.0,35.871952
310,38.500004,15.648595
311,51.0,12.838333
312,229.99998,6.203669
313,94.0,0.26120505
314,88.0,-1.3942416
315,57.0,44.664146
316,35.0,52.219364
317,59.5,54.607273
318,84.0,25.84797
319,58.0,15.221891
320,60.0,12.777899
321,60.0,20.831097
322,22.0,25.019484
323,134.0,25.68426
324,128.5,23.199928
325,123.0,16.290554
326,98.0,35.42515
327,104.0,51.169056
328,80.0,68.251
329,80.0,61.983364
330,62.0,58.899734
331,61.5,51.947952
332,61.0,49.56269
333,63.000004,42.95458
334,51.0,40.655178
335,38.0,38.8563
336,27.0,40.443222
337,23.999998,39.36462
338,23.999998,35.739548
339,23.999998,30.110645
340,17.0,26.509733
341,15.0,25.46309
342,15.0,26.290524
343,16.0,26.02568
344,17.0,25.523851
345,17.5,25.315016
346,18.0,26.52671
347,17.0,28.255396
348,14.0,30.0324
349,13.0,31.711607
350,13.0,32.97191
351,13.0,33.4897
352,16.0,33.825787
353,19.0,34.453056
354,11.0,35.597168
355,11.0,37.57764
356,11.999999,40.141705
357,11.999999,40.71264
358,19.0,40.94342
359,8.0,41.180294
360,8.5,42.67751
361,9.0,45.71732
362,38.0,45.90486
363,126.00001,46.30733
364,126.00001,46.042126
365,140.0,54.050617
366,136.0,80.8971
367,136.5,104.01647
368,137.0,122.68314
369,119.0,125.80843
370,123.0,128.70247
371,123.0,129.56522
372,118.0,126.98561
373,124.0,125.75939
374,121.5,124.928024
375,119.0,125.74412
376,102.0,127.41841
377,113.0,128.51181
378,124.0,129.72586
379,153.0,126.29889
380,135.0,126.3563
381,132.33333,129.52518
382,129.66667,141.27438
383,127.0,145.93771
384,103.0,147.80801
385,128.0,145.07092
386,119.0,144.81093
387,103.0,139.74225
388,111.00001,141.56017
389,87.0,141.8143
390,103.0,141.78374
391,95.0,140.30385
392,87.0,135.1561
393,111.00001,136.66656
394,95.0,135.38983
395,87.0,135.90027
396,79.0,139.74426
397,103.0,140.8073
398,71.0,141.0503
399,63.000004,136.38728
400,88.0,140.2292
401,64.0,137.68385
402,64.0,134.80716
403,64.0,134.99397
404,72.0,134.4451
405,64.0,135.09048
406,56.0,132.4926
407,80.0,135.57632
408,56.0,136.61212
409,56.0,135.8225
410,56.0,139.65936
411,64.0,138.912
412,64.0,139.3924
413,56.0,136.79044
414,56.0,139.87085
415,56.0,142.70656
416,48.5,143.47256
417,41.0,143.18896
418,49.0,143.17082
419,41.0,142.75461
420,65.0,140.87619
421,41.0,141.27892
422,41.0,141.09518
423,41.0,147.51259
424,41.0,146.75853
425,33.0,147.23244
426,33.0,144.62305
427,42.0,145.89359
428,34.0,145.36012
429,49.999996,145.07022
430,46.000004,147.07487
431,42.0,148.29419
432,42.0,153.06564
433,27.0,155.25676
434,26.0,157.4298
435,27.0,157.26976
436,18.0,154.50682
437,18.0,152.62274
438,18.0,151.49258
439,18.0,150.761
440,18.0,150.43211
441,28.0,150.24017
442,20.0,151.5032
443,28.0,152.76576
444,23.999998,156.28279
445,20.0,157.69016
446,20.0,160.81303
447,11.999999,161.43752
448,11.999999,162.30972
449,11.999999,162.14241
450,11.999999,160.95047
451,8.0,160.64922
452,4.0,160.61317
453,20.0,161.87082
454,20.0,162.2259
455,28.0,161.8004
456,11.999999,165.23784
457,11.999999,168.96667
458,16.5,174.61499
459,21.0,173.82115
460,5.0,173.24945
461,21.0,172.92943
462,51.0,176.0754
463,13.0,175.32501
464,37.0,177.79399
465,33.0,186.34496
466,29.0,187.465
467,54.0,191.57292
468,45.0,190.45287
469,69.0,193.9044
470,45.0,199.36671
471,37.0,202.81502
472,29.0,211.76982
473,21.0,210.82834
474,21.0,209.4735
475,21.0,203.47008
476,21.0,200.05606
477,37.0,198.44644
478,21.0,198.39716
479,17.0,199.6423
480,13.0,204.4972
481,37.0,205.25275
482,13.0,205.06226
483,99.0,202.03221
484,227.0,207.2625
485,195.0,207.12428
486,119.0,226.97726
487,43.0,270.015
488,51.0,302.95062
489,470.0,301.51657
490,329.0,265.57703
491,129.0,241.47972
492,99.0,326.59967
493,75.0,379.11902
494,51.0,375.52985
495,0.0,308.08112
496,29.0,265.64102
497,37.0,251.91542
498,29.0,233.06764
499,29.0,227.00798
500,24.999998,227.44916
501,21.0,233.13602
502,13.0,234.10423
503,21.0,233.13916
504,21.0,232.68843
505,21.0,230.68648
506,13.0,231.51474
507,13.0,233.01208
508,13.0,235.53885
509,45.0,234.96341
510,21.0,234.63171
511,41.0,234.56532
512,61.0,243.01854
513,13.0,245.07602
514,68.0,251.31836
515,76.0,257.0784
516,42.0,136.62186
517,33.0,1006.29956
518,28.0,288.08405
519,29.0,-5.744051
520,33.0,156.35754
521,26.5,155.39226
522,20.0,144.72684
523,11.0,207.25699
524,27.0,232.3383
525,75.0,282.92892
526,99.0,171.56615
527,83.0,193.32587
528,111.00001,222.53041
529,139.0,208.14722
530,284.0,146.89465
531,750.0,354.04678
