,tar,out
0,136.09091,330.8619
1,135.24675,329.41788
2,134.4026,327.97403
3,133.55844,326.53033
4,132.71428,325.08688
5,131.87013,323.64365
6,131.02597,322.20056
7,130.18182,320.75772
8,129.33766,319.31503
9,128.4935,317.8726
10,127.64935,316.4304
11,126.80519,314.98828
12,125.96104,313.54642
13,125.11688,312.10483
14,124.27272,310.66336
15,123.42857,309.2221
16,122.58442,307.78107
17,121.74026,306.3402
18,120.8961,304.8996
19,120.05194,303.45914
20,119.207794,302.01886
21,118.36364,300.57883
22,117.51948,299.13895
23,116.67532,297.69934
24,115.83116,296.2599
25,114.987015,294.82068
26,114.14286,293.38162
27,113.2987,291.94275
28,112.454544,290.50415
29,111.61039,289.0657
30,110.766235,287.62747
31,109.92208,286.18942
32,109.07792,284.7516
33,108.233765,283.31396
34,107.38961,281.8765
35,106.54546,280.4393
36,105.7013,279.00223
37,104.85714,277.56537
38,104.012985,276.12878
39,103.16883,274.69232
40,102.324684,273.2561
41,101.48052,271.82007
42,100.63636,270.38422
43,99.792206,268.9486
44,98.94805,267.51315
45,98.103905,266.0779
46,97.25974,264.6429
47,96.41558,263.20807
48,95.57143,261.77347
49,94.72727,260.33902
50,93.883125,258.9048
51,93.03896,257.47076
52,92.19481,256.03693
53,91.35065,254.6033
54,90.50649,253.16988
55,89.662346,251.7367
56,88.818184,250.30365
57,87.97403,248.87082
58,87.12987,247.4382
59,86.28571,246.00578
60,85.44157,244.5736
61,84.597404,243.14154
62,83.75325,241.70973
63,82.90909,240.27812
64,82.06493,238.8467
65,81.22079,237.41545
66,80.376625,235.9844
67,79.53247,234.55363
68,78.68831,233.123
69,77.844154,231.6926
70,77.00001,230.26239
71,76.155846,228.83238
72,75.31169,227.40257
73,74.46753,225.97298
74,73.623375,224.54352
75,72.77922,223.11436
76,71.93507,221.68532
77,71.09091,220.2565
78,70.24675,218.82793
79,69.402596,217.3995
80,68.55844,215.97127
81,67.71429,214.54326
82,66.87013,213.11548
83,66.02597,211.68785
84,65.181816,210.26045
85,64.33766,208.83325
86,63.493507,207.40622
87,62.64935,205.97946
88,61.805195,204.55283
89,60.961044,203.12643
90,60.116882,201.70024
91,59.272728,200.27423
92,58.42857,198.84842
93,57.584415,197.42282
94,56.740265,195.99744
95,55.896103,194.57222
96,55.05195,193.1472
97,54.20779,191.72243
98,53.363636,190.29782
99,52.519485,188.87343
100,51.675323,187.44925
101,50.83117,186.02524
102,49.987015,184.60144
103,49.142857,183.17784
104,48.298706,181.75446
105,47.454544,180.33127
106,46.61039,178.90828
107,45.766235,177.48549
108,44.922077,176.0629
109,44.077927,174.64049
110,43.233765,173.2183
111,42.38961,171.79631
112,41.545456,170.37453
113,40.701298,168.95293
114,39.857147,167.53156
115,39.012985,166.11037
116,38.16883,164.68939
117,37.324677,163.26859
118,36.48052,161.84802
119,35.636364,160.42763
120,34.79221,159.00743
121,33.94805,157.58745
122,33.103897,156.16768
123,32.25974,154.7481
124,31.415585,153.32872
125,30.571428,151.90953
126,29.727272,150.49057
127,28.883118,149.07178
128,28.038961,147.65318
129,27.194805,146.2348
130,26.350649,144.81662
131,25.506493,143.39865
132,24.662338,141.98088
133,23.818182,140.5633
134,22.974026,139.14592
135,22.12987,137.72874
136,21.285713,136.31177
137,20.441559,134.89499
138,19.597403,133.47841
139,18.753246,132.06204
140,17.90909,130.64587
141,17.064936,129.2299
142,16.22078,127.814125
143,15.376623,126.39856
144,14.532468,124.983185
145,13.688312,123.56801
146,12.844156,122.153046
147,11.999999,120.73829
148,14.0,119.32371
149,15.0,117.90934
150,14.0,116.49518
151,16.0,113.860794
152,15.0,132.0114
153,13.0,162.69928
154,13.0,434.39508
155,18.0,764.2477
156,23.000002,515.48083
157,121.0,59.35795
158,80.99999,171.56271
159,58.0,433.26926
160,64.0,445.00668
161,70.0,619.9039
162,90.49999,531.0685
163,111.00001,284.44965
164,111.00001,640.98615
165,782.0,297.0194
166,1452.9999,1170.24
167,788.0,2800.6675
168,603.0,2572.276
169,604.0,725.127
170,388.0,1404.2849
171,267.0,1298.3833
172,244.0,711.676
173,220.0,445.21716
174,290.0,381.78717
175,372.0,438.4494
176,549.0,787.47034
177,626.5,421.37024
178,704.0,837.69336
179,2116.0,1111.9131
180,1331.0,1369.2576
181,1269.0,1961.734
182,914.0,1545.8744
183,663.0,1085.0656
184,715.5,1600.9863
185,767.99994,1059.5776
186,767.99994,973.0413
187,936.0,821.94684
188,754.5,911.88226
189,573.0,1337.9497
190,372.0,611.453
191,383.99997,603.4193
192,538.0,757.30994
193,409.0,607.4758
194,811.0,785.48364
195,811.0,588.298
196,552.0,400.063
197,575.0,1279.5009
198,1746.0,1482.1399
199,2917.0,1203.0186
200,2740.0,1279.1207
201,2548.0,2274.8816
202,2356.0,2650.374
203,5789.0,2557.6821
204,8747.0,1945.6168
