,tar,out
0,140.0,172.55452
1,136.0,205.10133
2,136.5,230.449
3,137.0,250.04709
4,119.0,251.88316
5,123.0,253.37071
6,123.0,252.69025
7,118.0,247.3554
8,124.0,244.22041
9,121.5,241.70573
10,119.0,240.71317
11,102.0,241.09216
12,113.0,240.62242
13,124.0,240.14362
14,153.0,233.87128
15,135.0,232.49532
16,132.33333,235.0252
17,129.66667,247.8596
18,127.0,251.00475
19,103.0,250.98486
20,128.0,246.13501
21,119.0,244.02055
22,103.0,235.6134
23,111.00001,236.71103
24,87.0,235.33783
25,103.0,232.7573
26,95.0,229.56499
27,87.0,221.25125
28,111.00001,221.59583
29,95.0,218.429
30,87.0,216.8329
31,79.0,220.39209
32,103.0,219.57608
33,71.0,217.5512
34,63.000004,210.24341
35,88.0,213.80145
36,64.0,208.26556
37,64.0,202.52791
38,64.0,202.09622
39,72.0,199.15169
40,64.0,197.8071
41,56.0,193.28474
42,80.0,195.40527
43,56.0,194.66281
44,56.0,191.63559
45,56.0,195.1903
46,64.0,192.0129
47,64.0,190.48772
48,56.0,185.96312
49,56.0,188.08214
50,56.0,189.69778
51,48.5,188.52531
52,41.0,186.42747
53,49.0,184.75781
54,41.0,182.30405
55,65.0,178.10928
56,41.0,177.14696
57,41.0,175.0627
58,41.0,181.46988
59,41.0,178.29079
60,33.0,176.76208
61,33.0,172.23355
62,42.0,171.98984
63,34.0,169.38652
64,49.999996,167.28534
65,46.000004,168.26675
66,42.0,167.752
67,42.0,171.9758
68,27.0,172.83682
69,26.0,173.3402
70,27.0,171.45183
71,18.0,166.0681
72,18.0,162.04462
73,18.0,159.18245
74,18.0,156.33537
75,18.0,154.17746
76,28.0,152.32318
77,20.0,152.07585
78,28.0,151.82835
79,23.999998,154.52962
80,20.0,154.24457
81,20.0,156.28398
82,11.999999,155.28474
83,11.999999,154.35646
84,11.999999,152.46442
85,11.999999,149.14168
86,8.0,147.03426
87,4.0,145.35582
88,20.0,145.10585
89,20.0,143.67621
90,28.0,141.31735
91,11.999999,144.14157
92,11.999999,146.89244
93,16.5,151.85837
94,21.0,148.74724
95,5.0,146.20845
96,21.0,144.42552
97,51.0,146.54582
98,13.0,143.4248
99,37.0,144.9776
100,33.0,154.42953
101,29.0,152.79858
102,54.0,156.15445
103,45.0,153.50836
104,69.0,155.43369
105,45.0,160.90749
106,37.0,163.09293
107,29.0,172.29039
108,21.0,168.92723
109,21.0,165.02599
110,21.0,156.26633
111,21.0,150.36469
112,37.0,146.82146
113,21.0,145.13638
114,17.0,144.88052
115,13.0,149.34186
116,37.0,148.08554
117,13.0,145.79085
118,99.0,140.56651
119,227.0,145.74127
120,195.0,143.27007
121,119.0,167.07927
122,43.0,220.24976
123,51.0,255.65714
124,470.0,248.42853
125,329.0,202.39648
126,129.0,173.25952
127,99.0,284.79117
128,75.0,341.7304
129,51.0,324.61282
130,0.0,243.87279
131,29.0,193.83861
132,37.0,175.56676
133,29.0,150.40578
134,29.0,142.55281
135,24.999998,142.27654
136,21.0,146.69922
137,13.0,146.00807
138,21.0,143.13774
139,21.0,140.7671
140,21.0,136.50215
141,13.0,136.02385
142,13.0,136.19131
143,13.0,137.35846
144,45.0,134.73721
145,21.0,132.61426
146,41.0,130.92091
147,61.0,140.09064
148,13.0,140.1913
149,68.0,145.96295
150,76.0,151.95412
151,42.0,13.495861
152,33.0,1039.4459
153,28.0,134.69893
154,29.0,-250.29706
155,33.0,199.71243
156,26.5,183.50127
157,20.0,163.01988
158,11.0,270.78513
159,27.0,320.8119
160,75.0,443.92725
161,99.0,386.13864
162,83.0,381.1535
163,111.00001,267.6472
164,139.0,158.27199
165,284.0,150.98875
166,750.0,568.1844
167,1692.9999,597.995
168,2293.0,1629.0239
169,1885.0,2417.3816
170,1373.0,1625.9596
171,861.00006,1862.4307
172,673.0,1186.0104
173,505.0,979.2908
174,356.0,940.9379
175,271.0,670.9989
176,512.0,530.32544
177,410.5,465.5594
178,309.0,448.03882
