,tar,out
0,125.78261,242.24702
1,123.60869,242.02411
2,121.434784,241.81186
3,119.26087,241.61006
4,117.08696,241.419
5,114.91305,241.23807
6,112.73913,241.06786
7,110.56521,240.90793
8,108.391304,240.75912
9,106.21739,240.62051
10,104.04348,240.49251
11,101.86957,240.37447
12,99.695656,240.26793
13,97.521736,240.17133
14,95.347824,240.08542
15,93.17391,240.01016
16,91.0,239.94514
17,87.0,239.89078
18,79.0,239.84688
19,70.0,239.81377
20,79.0,239.38187
21,66.0,237.75139
22,66.0,234.99179
23,66.0,235.4424
24,66.0,233.57504
25,75.0,233.03542
26,66.0,233.56467
27,66.0,233.79001
28,66.0,237.19768
29,62.0,238.11827
30,58.0,239.11504
31,58.0,240.20103
32,58.0,239.9363
33,54.0,239.79265
34,62.0,240.05586
35,71.0,240.66223
36,66.5,240.88235
37,62.0,243.48044
38,49.999996,247.87254
39,49.999996,250.5643
40,46.000004,252.13733
41,58.0,250.42282
42,71.0,248.9365
43,79.0,247.67754
44,87.0,250.1932
45,63.000004,256.2552
46,58.0,263.03296
47,49.999996,270.5075
48,46.000004,270.23444
49,42.0,268.31372
50,49.5,264.9641
51,57.0,261.56766
52,33.0,260.17514
53,39.0,261.6284
54,45.0,265.42566
55,39.0,263.56375
56,28.0,264.09155
57,28.0,265.82608
58,28.0,265.84415
59,22.0,265.33542
60,33.0,264.95236
61,171.0,264.7809
62,239.0,264.20444
63,108.0,267.4293
64,152.0,301.60623
65,196.0,343.44083
66,240.0,345.65164
67,102.0,355.6803
68,80.0,364.5904
69,57.0,377.9327
70,57.0,365.52295
71,62.0,348.05426
72,63.000004,327.4138
73,91.0,310.31635
74,63.000004,308.49194
75,57.0,309.44394
76,51.0,318.52185
77,51.0,319.48654
78,47.999996,318.8486
79,45.0,317.34637
80,34.0,315.02695
81,34.0,315.02274
82,28.0,315.2687
83,23.000002,313.85803
84,42.0,313.3128
85,33.0,312.30264
86,23.999998,311.1723
87,23.999998,315.90982
88,30.0,318.0213
89,26.0,318.4254
90,26.0,319.48376
91,32.0,320.99152
92,30.333334,322.40436
93,28.666666,324.56808
94,27.0,328.07285
95,27.0,330.49442
96,23.000002,332.71414
97,125.0,334.5096
98,117.0,336.01517
99,113.0,336.9061
100,23.000002,361.54816
101,17.0,379.05896
102,17.0,391.50348
103,19.0,380.48965
104,13.0,364.53967
105,19.0,353.99466
106,16.0,347.94183
107,13.0,348.63293
108,30.0,351.4817
109,30.0,353.52527
110,13.0,354.82828
111,19.0,360.6507
112,19.0,365.25763
113,21.5,365.56305
114,23.999998,367.8291
115,19.0,369.05634
116,19.0,371.22922
117,19.0,375.13052
118,19.0,377.10577
119,36.0,379.16025
120,33.0,381.14246
121,30.0,383.10364
122,24.999998,389.42404
123,19.0,394.11325
124,30.0,397.49478
125,59.0,399.40576
126,53.0,398.97192
127,44.5,402.03107
128,36.0,411.8909
129,31.0,418.90372
130,24.999998,423.06418
131,19.0,423.96512
132,24.999998,422.2541
133,19.0,420.70892
134,55.500004,419.4441
135,92.00001,421.13754
136,59.0,422.074
137,53.0,432.2541
138,24.999998,449.38373
139,19.0,454.8234
140,19.0,458.19205
141,73.5,452.37512
142,128.0,445.06207
143,54.0,442.58014
144,59.0,454.57224
145,59.0,478.7842
146,172.0,480.7776
147,132.0,483.50867
148,146.5,482.5407
149,161.0,505.43503
150,124.0,0.80704653
151,90.0,528.4055
152,73.0,126.35864
153,102.0,208.49228
154,193.0,191.29192
155,276.5,215.06056
156,360.0,323.9674
157,1594.9999,529.40924
158,1137.0,622.47955
159,1354.0,1597.8547
160,1836.0,1783.8701
161,2501.0,1140.6523
162,3210.5,2140.6587
163,3920.0,3612.6985
164,2498.0,4854.884
165,1708.5,3415.5027
166,919.0,3518.3933
167,777.0,1785.2264
168,937.00006,2424.5234
169,1091.0,1068.9961
170,4825.0,1154.7544
171,8670.0,1056.2805
172,13831.0,1608.2909
173,9083.0,6737.81
174,5193.0,7452.766
175,6507.0,7285.0103
176,4440.0,5678.309
177,2373.0,4990.342
178,2195.0,4554.7095
179,9740.001,3907.717
180,9633.0,3201.2927
181,11497.0,3990.1616
182,8050.0,12855.159
183,7535.0005,8149.7754
184,7020.0,7233.374
185,7158.0,6521.7534
186,6238.0,5152.6997
187,6937.0,5385.9487
188,11091.001,5095.482
189,5748.0,5544.4272
190,6162.5,5905.188
191,6577.0,7555.1494
192,7533.0,5567.72
193,6326.0,4688.7656
194,11981.0,4931.822
195,18606.0,5765.7583
196,20425.0,6003.845
197,16793.0,10296.985
198,13161.0,16528.715
199,9825.0,16537.615
200,13322.0,13898.889
201,10345.001,12319.662
202,10032.0,11649.017
203,10071.001,12474.378
204,10051.5,11224.272
205,10032.0,9335.251
206,4271.0,8472.6
207,6340.9995,7971.7153
208,12836.001,6304.654
209,10367.999,6538.6553
210,8967.0,6024.052
211,8080.0,9591.619
212,7193.0,8859.62
213,9113.0,7400.914
214,7389.0,5850.6006
215,5477.0005,5160.89
216,4255.0,5501.26
217,4855.0,5062.9097
218,4498.5,4263.1
219,4142.0,3552.09
220,4128.0,3285.7253
221,4117.0,3026.3723
222,3649.0,2693.109
223,3441.0,2932.1587
224,3073.0,2629.4563
225,3414.0,2578.2666
226,3755.0,2371.3154
227,4069.0,2299.0325
228,4320.0,2477.1848
229,4031.0,2554.3176
230,4015.0,3033.7278
231,4942.0,2909.7856
232,3970.5,2837.2095
233,2999.0,2732.7263
234,2645.0,2818.8154
235,3020.0,2573.1882
236,2684.0,2464.539
237,1927.0,2144.4395
238,2075.0,1954.541
239,2223.0,1816.9568
240,1622.0,1571.778
241,1857.0,1444.2102
242,1807.0,1470.32
243,1641.0,1231.7656
244,1685.0,1255.6058
245,1578.0,1246.4764
246,1626.0,1246.2522
247,1674.0,1384.7249
248,1993.0,1242.6423
249,1681.0,1435.7554
250,1457.0,1168.3741
251,1332.0,1129.7057
252,1579.0,1049.3945
253,1638.0,1389.6818
254,1697.0,1163.0953
255,1658.0,1244.849
256,2490.0,1193.211
257,3893.0,1043.4441
258,7603.0,1680.1799
259,5057.0,2756.0073
260,3847.5,3094.2878
261,2638.0,4582.2656
262,2648.0,3655.4692
263,1578.0,2886.624
264,1253.0,2444.706
265,1398.9999,2041.5159
266,1125.0,1574.4364
267,1201.0,1192.6702
268,1277.0,1054.1094
269,2591.9998,890.1345
270,1703.0,859.7099
271,995.99994,1279.0707
272,1658.0,1118.0354
273,1121.0,1111.853
274,1003.5,917.4301
275,886.0,1045.3783
276,1003.00006,1017.6498
277,259.0,918.8727
278,515.0,712.5931
279,358.0,643.88367
280,240.0,558.7389
281,240.5,505.77048
282,240.99998,473.6828
283,240.99998,497.9063
284,280.0,395.42868
285,355.0,262.11703
286,23.000002,466.87723
287,1237.0001,660.71924
288,885.0,458.67883
289,533.0,275.82086
290,600.0,2074.6702
291,831.0,602.333
292,348.0,376.31177
293,502.0,580.12054
294,416.0,907.5902
295,330.0,545.2793
296,244.0,410.3783
297,219.0,337.08664
298,216.49998,323.84497
299,214.00002,312.8146
300,161.0,297.26257
301,185.0,182.31268
302,197.50002,124.16291
303,210.0,89.36593
304,107.00001,91.73095
305,55.0,92.558624
306,78.0,96.58176
307,77.00001,80.56233
308,26.0,55.183857
309,38.500004,40.53791
310,51.0,29.475626
311,229.99998,17.203552
312,94.0,14.063551
313,88.0,13.325101
314,57.0,52.734116
315,35.0,56.63493
316,59.5,56.547653
317,84.0,48.397236
318,58.0,26.387842
319,60.0,24.50087
320,60.0,29.408445
321,22.0,29.794085
322,134.0,31.893393
323,128.5,31.997992
324,123.0,22.42964
325,98.0,41.67486
326,104.0,55.55221
327,80.0,64.87257
328,80.0,68.48727
329,62.0,65.24716
330,61.5,58.2212
331,61.0,53.541523
332,63.000004,47.960033
333,51.0,43.526863
334,38.0,41.934242
335,27.0,41.486485
336,23.999998,39.923645
337,23.999998,36.078606
338,23.999998,30.978537
339,17.0,26.619041
340,15.0,24.43846
341,15.0,23.941782
342,16.0,22.983377
343,17.0,22.20508
344,17.5,21.842056
345,18.0,22.04478
346,17.0,23.108582
347,14.0,24.36386
348,13.0,25.622911
349,13.0,26.489122
350,13.0,26.615849
351,16.0,26.657457
352,19.0,26.876884
353,11.0,27.339191
354,11.0,28.764835
355,11.999999,30.788256
356,11.999999,30.760052
357,19.0,30.89514
358,8.0,31.235508
359,8.5,31.552135
360,9.0,34.0753
361,38.0,33.778732
362,126.00001,33.750584
363,126.00001,34.0453
364,140.0,40.47588
365,136.0,65.78265
366,136.5,85.2417
367,137.0,102.739006
368,119.0,112.86449
369,123.0,114.90282
370,123.0,116.69455
371,118.0,113.37384
372,124.0,112.167244
373,121.5,111.50245
374,119.0,110.167656
375,102.0,111.857185
376,113.0,112.55994
377,124.0,112.75147
378,153.0,109.650734
379,135.0,109.52147
380,132.33333,112.33661
381,129.66667,121.34491
382,127.0,125.50167
383,103.0,127.31161
384,128.0,127.44594
385,119.0,125.343346
386,103.0,119.88158
387,111.00001,121.62374
388,87.0,121.51158
389,103.0,118.31283
390,95.0,119.31092
391,87.0,113.43542
392,111.00001,113.34437
393,95.0,112.86715
394,87.0,110.48232
395,79.0,115.707634
396,103.0,115.40731
397,71.0,114.076546
398,63.000004,111.93478
399,88.0,114.33471
400,64.0,110.49661
401,64.0,106.446495
402,64.0,109.60409
403,72.0,105.584656
404,64.0,104.78861
405,56.0,104.86507
406,80.0,105.381165
407,56.0,105.83856
408,56.0,104.5757
409,56.0,109.1003
410,64.0,107.03188
411,64.0,106.11189
412,56.0,106.10121
413,56.0,106.61956
414,56.0,108.84866
415,48.5,108.94697
416,41.0,109.16273
417,49.0,109.03246
418,41.0,107.534996
419,65.0,105.46906
420,41.0,105.89711
421,41.0,104.75669
422,41.0,109.91761
423,41.0,109.26361
424,33.0,108.34545
425,33.0,108.33714
426,42.0,107.08798
427,34.0,106.18778
428,49.999996,105.6985
429,46.000004,107.56402
430,42.0,107.4886
431,42.0,111.66955
432,27.0,114.17409
433,26.0,114.773964
434,27.0,115.880684
435,18.0,112.577225
436,18.0,110.32324
437,18.0,109.373085
438,18.0,106.97244
439,18.0,106.35156
440,28.0,106.18912
441,20.0,106.26849
442,28.0,107.14345
443,23.999998,110.23538
444,20.0,111.03989
445,20.0,113.577835
446,11.999999,114.812416
447,11.999999,114.414375
448,11.999999,114.81659
449,11.999999,113.06585
450,8.0,112.2272
451,4.0,112.10373
452,20.0,112.27407
453,20.0,112.264534
454,28.0,111.57393
455,11.999999,114.8196
456,11.999999,117.56877
457,16.5,121.87023
458,21.0,121.97644
459,5.0,121.1312
460,21.0,121.7145
461,51.0,122.94513
462,13.0,121.60437
463,37.0,124.270004
464,33.0,132.9299
465,29.0,131.07593
466,54.0,135.97722
467,45.0,137.95697
468,69.0,136.9137
469,45.0,144.28459
470,37.0,146.57481
471,29.0,154.0269
472,21.0,154.75476
473,21.0,151.9799
474,21.0,148.84169
475,21.0,143.4633
476,37.0,141.2754
477,21.0,140.45113
478,17.0,140.62808
479,13.0,145.06607
480,37.0,145.12415
481,13.0,144.3956
482,99.0,143.12198
483,227.0,146.74223
484,195.0,145.53314
485,119.0,164.08524
486,43.0,207.19379
487,51.0,231.43858
488,470.0,233.60602
489,329.0,211.95583
490,129.0,189.32141
491,99.0,268.47403
492,75.0,303.76025
493,51.0,289.30804
494,0.0,268.80902
495,29.0,221.74707
496,37.0,191.77371
497,29.0,171.57527
498,29.0,165.08723
499,24.999998,164.19563
500,21.0,163.7937
501,13.0,166.88397
502,21.0,166.59018
503,21.0,165.20139
504,21.0,163.1295
505,13.0,163.58034
506,13.0,164.48093
507,13.0,165.66676
508,45.0,165.48567
509,21.0,165.01239
510,41.0,164.90219
511,61.0,172.20703
512,13.0,173.22012
513,68.0,178.47514
514,76.0,187.05545
515,42.0,61.623234
516,33.0,932.16547
517,28.0,172.76382
518,29.0,9.512397
519,33.0,-9.532965
520,26.5,149.6056
521,20.0,137.22644
522,11.0,170.24384
523,27.0,199.41261
524,75.0,248.48529
525,99.0,164.92102
526,83.0,220.20218
527,111.00001,214.94344
528,139.0,167.28114
529,284.0,76.946236
530,750.0,299.9244
531,1692.9999,525.88477
532,2293.0,1712.3212
533,1885.0,2668.332
534,1373.0,1899.01
535,861.00006,1949.9436
536,673.0,972.8516
537,505.0,925.85315
538,356.0,767.74677
539,271.0,636.73584
540,512.0,483.7956
541,410.5,399.02734
542,309.0,387.0288
543,414.0,519.6862
544,289.0,476.77286
545,251.0,471.5394
546,233.00002,270.41214
547,221.0,279.39514
548,282.0,372.68835
549,343.0,279.86218
550,489.0,132.40717
551,771.0,281.09702
552,1043.0,291.6577
553,2156.0,799.32477
554,8359.0,2104.9368
555,10301.0,1823.1094
556,12243.0,5871.306
557,9191.0,5826.921
558,5689.0,7973.7656
559,3541.0,8512.092
560,10064.0,7931.8584
561,7344.0,6075.7207
562,7377.5,6780.8794
563,7411.0,6741.196
564,17825.0,6043.2085
565,7175.0,7560.477
566,4372.0,7803.2124
567,8841.0,11355.88
568,14939.0,7938.299
569,11473.501,6049.6973
570,8008.0,5981.323
571,6215.0,7674.291
572,9973.0,7876.7197
573,10896.0,7105.387
574,9623.0,7579.131
575,12083.0,8934.805
576,12973.001,8073.4956
577,13863.0,7244.34
578,12244.0,7640.8403
579,9580.0,9289.768
580,3389.0,11049.255
581,4608.0,10838.077
582,6209.0,7552.11
583,5405.5,5188.1274
584,4602.0,3888.5051
585,3098.0,3564.7493
586,2755.0,3845.5317
587,2373.0,3239.7205
588,2738.0,2819.7527
589,2412.0,2193.7607
590,2255.5,1800.8544
591,2099.0,1661.5051
592,1545.0,1602.8864
593,1494.0,2026.9316
594,1494.0,1758.914
595,1128.0,1309.1742
596,939.0,1152.1567
597,783.5,1239.5708
598,628.0,891.037
599,958.0,803.65424
600,2237.0,662.21985
601,3295.0,680.3513
602,1927.0,1044.6423
603,6841.0,1360.3319
604,6133.5005,2360.7742
605,5426.0,3299.0955
606,4562.0,4136.68
607,5229.0,4846.758
608,4603.0,3374.5886
609,5136.0,3969.2378
610,7221.0005,3627.6772
611,5506.5005,3347.5154
612,3792.0,4381.359
613,3083.0,3806.5388
614,2934.9998,3604.1643
615,2597.0,3266.0347
616,2604.0,2940.9524
617,3006.0,2346.419
618,2722.5,1786.432
619,2439.0,1717.3383
620,1951.0,1875.3293
621,2164.0,1750.3411
622,2037.0,1689.6285
623,1777.0,1477.3207
624,1550.0,1420.9475
625,1687.5001,1438.2279
626,1825.0001,1276.5681
627,1895.0,1172.18
628,1403.0,2461.9883
629,1501.9999,2168.5713
630,1067.0,1768.6648
631,1155.0,1433.6096
632,896.5,1270.8268
633,638.00006,902.3909
634,1695.0,1725.1625
635,958.0,963.47327
636,353.0,506.70633
637,353.0,594.06287
638,578.0,734.84186
639,486.0,730.0849
640,394.0,624.0893
641,120.0,1197.2947
642,169.0,508.77103
643,611.0,456.21198
644,1521.0001,529.2601
645,831.0,480.3519
646,501.50003,625.35846
647,172.0,715.37506
648,11.0,647.0515
649,124.0,508.2789
650,46.000004,431.37704
651,57.0,311.34476
652,187.0,202.81549
653,265.0,196.70581
654,343.0,141.42453
655,271.0,343.39655
656,323.0,305.57202
657,409.0,222.21417
658,621.00006,187.88837
659,325.0,546.26843
660,363.0,384.95663
661,401.0,914.11615
662,143.0,372.5278
663,40.0,537.578
664,37.0,422.51544
665,37.0,281.3767
666,67.0,197.34169
667,107.5,175.67606
668,148.0,149.57506
669,84.99999,148.80281
670,63.000004,163.71135
671,133.0,184.42097
672,71.0,186.37065
673,575.0,180.71951
674,528.5,189.34146
675,481.99997,180.54129
676,655.0,288.9274
677,578.0,363.93848
678,758.0,404.54303
679,405.0,474.7551
680,571.0,478.62393
681,540.5,524.06354
682,510.0,483.91223
683,507.0,477.62863
684,511.0,472.3364
685,485.0,451.41608
686,630.99994,457.85156
687,1065.0,453.16745
688,1041.0,446.49677
689,1017.0,476.0052
690,987.0,595.2471
691,987.0,681.18427
692,987.0,740.4466
693,963.0,766.6194
694,956.0,757.9744
695,767.5,753.69165
696,579.0,747.32947
697,361.0,743.3028
698,339.99997,699.0105
699,310.0,623.8233
700,268.0,520.89935
701,237.0,440.52032
702,221.0,387.9946
703,205.0,353.30475
704,71.0,335.28888
705,330.0,320.1812
706,372.0,307.95154
707,415.0,272.40326
708,367.0,305.2631
709,240.99998,342.22128
710,114.99999,381.18234
711,14.0,407.6986
712,229.99998,382.3327
