,tar,out
0,127.95653,432.55303761231653
1,125.78261,436.4354927524994
2,123.60869,440.31791685079236
3,121.434784,444.2003101719201
4,119.26087,448.08268688022724
5,117.08696,451.9650465171606
6,114.91305,455.84738496183667
7,112.73913,459.7296744808195
8,110.56521,463.6119529993319
9,108.391304,467.49423367908753
10,106.21739,471.37645077140843
11,104.04348,475.25864338212955
12,101.86957,479.14082858588955
13,99.695656,483.0229876516704
14,97.521736,486.9050786535992
15,95.347824,490.7872114256141
16,93.17391,494.6692716064921
17,91.0,498.55129612469676
18,87.0,502.4333306637542
19,79.0,506.315336949265
20,70.0,510.1973218049245
21,79.0,513.0705122788453
22,66.0,513.5479706268562
23,66.0,513.0001185714561
24,66.0,522.1506553652505
25,66.0,520.9463182437665
26,75.0,525.3257295087973
27,66.0,530.2425506969539
28,66.0,535.6245064459986
29,66.0,545.9780580316366
30,62.0,547.3053504383199
31,58.0,552.0921791100773
32,58.0,557.1520301092326
33,58.0,560.3242533850822
34,54.0,563.0888088203545
35,62.0,567.9198256219172
36,71.0,573.1584493985562
37,66.5,576.3305993011684
38,62.0,585.7237472080608
39,49.999996,596.7489822948545
40,49.999996,600.8483209211175
41,46.000004,603.6076077168169
42,58.0,601.7410007768722
43,71.0,605.7385149669673
44,79.0,608.481189720011
45,87.0,620.0835101174163
46,63.000004,633.7257515381532
47,58.0,645.2803921275234
48,49.999996,656.3612410142364
49,46.000004,649.5874195885577
50,42.0,650.046911853008
51,49.5,649.6410676783911
52,57.0,651.8185584784529
53,33.0,654.2964477815864
54,39.0,663.2695633230035
55,45.0,673.4149060808612
56,39.0,666.5723656200624
57,28.0,673.0894590052519
58,28.0,681.5377610941865
59,28.0,684.4310506260689
60,22.0,683.339254855488
61,33.0,687.384286428694
62,171.0,692.3718166945395
63,239.0,694.4388139986787
64,108.0,705.2838790944289
65,152.0,787.7943014166534
66,196.0,845.1965906467834
67,240.0,790.0909824499864
68,102.0,808.8511231032137
69,80.0,838.3342285846044
70,57.0,874.077444398922
71,57.0,809.2971479696322
72,62.0,790.0303185639676
73,63.000004,775.5278861973225
74,91.0,777.7764447444663
75,63.000004,785.095989482762
76,57.0,791.538776906166
77,51.0,812.6650440213069
78,51.0,805.4716445904821
