,tar,out
0,135.24675,13.4480095
1,134.4026,12.181599
2,133.55844,10.915442
3,132.71428,9.649521
4,131.87013,8.383904
5,131.02597,7.1184864
6,130.18182,5.8533273
7,129.33766,4.5884132
8,128.4935,3.3237164
9,127.64935,2.0592601
10,126.80519,0.795103
11,125.96104,-0.4688818
12,125.11688,-1.7325492
13,124.27272,-2.9960396
14,123.42857,-4.2592626
15,122.58442,-5.5222726
16,121.74026,-6.784938
17,120.8961,-8.047461
18,120.05194,-9.309735
19,119.207794,-10.571743
20,118.36364,-11.833495
21,117.51948,-13.095034
22,116.67532,-14.356316
23,115.83116,-15.617317
24,114.987015,-16.878117
25,114.14286,-18.138628
26,113.2987,-19.398949
27,112.454544,-20.659039
28,111.61039,-21.918833
29,110.766235,-23.178406
30,109.92208,-24.437735
31,109.07792,-25.69683
32,108.233765,-26.955667
33,107.38961,-28.214268
34,106.54546,-29.472612
35,105.7013,-30.730751
36,104.85714,-31.988611
37,104.012985,-33.246246
38,103.16883,-34.503616
39,102.324684,-35.760784
40,101.48052,-37.017666
41,100.63636,-38.274303
42,99.792206,-39.530716
43,98.94805,-40.786892
44,98.103905,-42.04282
45,97.25974,-43.29852
46,96.41558,-44.55392
47,95.57143,-45.80916
48,94.72727,-47.064083
49,93.883125,-48.3188
50,93.03896,-49.573265
51,92.19481,-50.827496
52,91.35065,-52.081398
53,90.50649,-53.3352
54,89.662346,-54.588703
55,88.818184,-55.84191
56,87.97403,-57.09494
57,87.12987,-58.34769
58,86.28571,-59.60019
59,85.44157,-60.852486
60,84.597404,-62.10449
61,83.75325,-63.356304
62,82.90909,-64.607834
63,82.06493,-65.859146
64,81.22079,-67.11018
65,80.376625,-68.361015
66,79.53247,-69.61159
67,78.68831,-70.86192
68,77.844154,-72.11199
69,77.00001,-73.36185
70,76.155846,-74.611435
71,75.31169,-75.86076
72,74.46753,-77.10991
73,73.623375,-78.35877
74,72.77922,-79.60741
75,71.93507,-80.855774
76,71.09091,-82.103905
77,70.24675,-83.35181
78,69.402596,-84.59945
79,68.55844,-85.84686
80,67.71429,-87.09401
81,66.87013,-88.34096
82,66.02597,-89.587616
83,65.181816,-90.83405
84,64.33766,-92.080246
85,63.493507,-93.326195
86,62.64935,-94.5719
87,61.805195,-95.81735
88,60.961044,-97.062584
89,60.116882,-98.30754
90,59.272728,-99.55229
91,58.42857,-100.79677
92,57.584415,-102.04101
93,56.740265,-103.284996
94,55.896103,-104.52878
95,55.05195,-105.772285
96,54.20779,-107.01556
97,53.363636,-108.25858
98,52.519485,-109.50136
99,51.675323,-110.743904
100,50.83117,-111.9862
101,49.987015,-113.22824
