,tar,out
0,136.0,25.656666
1,136.5,47.419518
2,137.0,67.2416
3,119.0,78.58775
4,123.0,80.085945
5,123.0,81.32907
6,118.0,76.5189
7,124.0,74.21826
8,121.5,72.49029
9,119.0,69.9272
10,102.0,71.0029
11,113.0,70.88334
12,124.0,70.168846
13,153.0,65.65235
14,135.0,64.572685
15,132.33333,66.869995
16,129.66667,76.36671
17,127.0,80.326706
18,103.0,81.63001
19,128.0,80.9673
20,119.0,77.477516
21,103.0,70.14659
22,111.00001,71.23963
23,87.0,70.07731
24,103.0,65.327805
25,95.0,65.670654
26,87.0,57.779625
27,111.00001,56.674217
28,95.0,55.141415
29,87.0,51.314037
30,79.0,56.52362
31,103.0,55.12988
32,71.0,52.632763
33,63.000004,49.271736
34,88.0,51.01027
35,64.0,45.484135
36,64.0,39.82422
37,64.0,42.603462
38,72.0,36.733566
39,64.0,34.85628
40,56.0,34.050503
41,80.0,33.543922
42,56.0,33.085716
43,56.0,30.650755
44,56.0,34.971073
45,64.0,31.49045
46,64.0,29.452955
47,56.0,28.526545
48,56.0,28.00812
49,56.0,29.6017
50,48.5,28.73275
51,41.0,28.032188
52,49.0,26.860779
53,41.0,24.068056
54,65.0,20.6598
55,41.0,20.140577
56,41.0,17.73899
57,41.0,22.72256
58,41.0,20.952105
59,33.0,18.89134
60,33.0,17.94195
61,42.0,15.337676
62,34.0,13.266409
63,49.999996,11.678216
64,46.000004,12.808291
65,42.0,11.642086
66,42.0,15.506881
67,27.0,17.410938
68,26.0,17.068848
69,27.0,17.402142
70,18.0,12.486442
71,18.0,8.811003
72,18.0,6.6314006
73,18.0,2.7079854
74,18.0,0.9424623
75,28.0,-0.30831835
76,20.0,-1.3140794
77,28.0,-1.3468539
78,23.999998,1.1997428
79,20.0,1.0737778
80,20.0,2.9983487
81,11.999999,3.4076035
82,11.999999,1.8594403
83,11.999999,1.3018389
84,11.999999,-1.8322136
85,8.0,-3.8922355
86,4.0,-5.1223392
87,20.0,-6.038628
88,20.0,-7.12258
89,28.0,-8.998905
90,11.999999,-6.3044877
91,11.999999,-4.2239523
92,16.5,-0.28504795
93,21.0,-1.1621959
